cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,lossSorted
1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,5,6,2,1,5,2,5,5,2,2,13,2,21,13,4,10,7,0.60883,0.555782,0.397983,0.452887,0.413817,0.678275,0.46566,0.36083,0.58937,0.81591,0.654669,0.641454,0.672607,0.257677,28.46
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,3,6,1,1,3,6,4,6,2,3,5,2,9,9,4,5,41,0.164112,0.245921,0.419161,0.696873,0.281143,0.301151,0.343022,0.41762,0.22969,0.23545,0.209813,0.207184,0.611431,0.297754,193.94
1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2,2,1,3,3,3,3,9,1,1,3,2,3,4,4,2,11,1,16,37,1,3,75,0.461344,0.488789,0.944251,0.432728,0.902259,0.385129,0.459526,0.38318,0.39046,0.45017,0.453334,0.443374,0.342239,0.782291,200
1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,6,6,1,3,6,2,2,8,2,2,6,2,40,36,1,4,17,0.283689,0.422197,0.484196,0.815505,0.281143,0.414468,0.437678,0.60087,0.32128,0.36458,0.453334,0.443374,0.663739,0.548883,296.46
1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,6,1,2,1,4,7,10,5,2,8,2,2,11,2,11,30,0.632041,0.078346,0.336963,0.402922,0.281143,0.534697,0.760597,0.2501,0.41675,0.65576,0.727671,0.714544,0.224436,0.314671,351.17
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,3,6,1,1,5,6,3,5,1,1,15,2,10,1,4,9,52,0.682905,0.127059,0.120071,0.642745,0.310061,0.602941,0.275835,0.3026,0.63715,0.81923,0.359572,0.352251,0.768525,0.82464,388.26
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,2,1,1,3,1,5,3,4,4,6,1,1,9,6,13,13,6,2,15,2,11,38,3,4,18,0.112756,0.488789,0.592681,0.176921,0.281143,0.180269,0.251232,0.24123,0.2418,0.20496,0.154404,0.163548,0.556425,0.479197,399.23
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,13,6,1,1,1,4,3,2,2,2,9,2,10,15,3,4,1,0.367378,0.358319,0.26357,0.345595,0.348388,0.525616,0.529729,0.34445,0.37458,0.48334,0.695685,0.682413,0.704052,0.811621,411
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,3,3,13,6,1,1,2,1,5,9,4,2,6,2,10,33,3,7,3,0.630691,0.737068,0.462347,0.74604,0.281143,0.507409,0.471805,0.55421,0.66201,0.60401,0.370419,0.362771,0.348267,0.807808,417.35
1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,3,3,5,6,1,2,1,4,5,10,5,2,11,2,7,11,1,7,30,0.725145,0.620805,0.336963,0.402922,0.281143,0.589067,0.836066,0.41762,0.57506,0.61984,0.727671,0.714544,0.330336,0.250675,424.33
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,3,3,3,3,6,1,1,2,2,3,3,4,2,4,2,6,4,4,3,4,0.54667,0.785784,0.634224,0.373816,0.302678,0.360931,0.413194,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.390576,439.21
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,5,6,1,1,7,2,5,1,2,2,6,2,4,5,4,10,10,0.425579,0.620805,0.673861,0.809278,0.525831,0.665573,0.536976,0.92176,0.4832,0.67065,0.695685,0.682413,0.633362,0.614147,460.4
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,13,6,1,1,5,2,2,2,2,3,7,2,21,15,3,1,73,0.204992,0.127059,0.162313,0.259793,0.499798,0.361473,0.426899,0.33906,0.29095,0.32935,0.381398,0.424625,0.529964,0.283534,476.37
2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,6,1,1,11,2,5,8,2,2,10,1,22,20,1,4,42,0.612965,0.422197,0.26357,0.309621,0.372405,0.852127,0.785513,0.819,0.58325,0.79863,0.797841,0.862189,0.859764,0.675962,483.37
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,3,3,2,9,6,1,1,2,1,3,3,3,2,6,2,6,4,4,7,4,0.45271,0.358319,0.484196,0.373816,0.422268,0.313923,0.364683,0.25918,0.35897,0.42828,0.307628,0.301921,0.276878,0.386439,491.48
1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,3,3,6,1,1,2,1,3,4,4,2,11,1,6,37,4,3,71,0.338258,0.681761,0.506105,0.327354,0.946982,0.364464,0.329585,0.49462,0.29269,0.36458,0.341813,0.335036,0.324464,0.379473,496.02
2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,3,3,2,3,6,1,1,6,3,1,9,3,2,13,1,2,10,5,7,38,0.516355,0.299102,0.762059,0.208655,0.405415,0.425066,0.559342,0.3026,0.39447,0.39068,0.678924,0.665644,0.271571,0.304146,500.82
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,3,13,6,1,1,9,6,8,4,4,5,33,2,10,4,2,3,25,0.286052,0.061,0.440642,0.222469,0.302678,0.164183,0.274654,0.27797,0.32311,0.22755,0.156452,0.155365,0.236253,0.820556,511.16
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,3,3,13,6,1,1,7,3,5,3,5,2,11,2,19,25,3,7,10,0.487367,0.555782,0.844219,0.229617,0.281143,0.54871,0.883351,0.40028,0.5042,0.45017,0.805285,0.800726,0.298734,0.359434,515.21
2,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,3,3,4,6,1,2,3,1,4,7,4,3,5,2,16,2,5,10,5,0.325401,0.422197,0.592681,0.473202,0.758711,0.201125,0.262345,0.24564,0.30859,0.21983,0.199654,0.214808,0.351299,0.741797,515.55
2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,3,2,1,3,6,2,1,1,2,3,2,2,2,14,2,6,15,4,4,1,0.367378,0.15999,0.174588,0.345595,0.340543,0.571309,0.70025,0.34987,0.37458,0.48334,0.588753,0.576121,0.704052,0.38727,520.45
1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,6,1,1,11,1,5,7,1,1,15,1,9,1,2,1,99,0.872918,0.199504,0.094942,0.62377,0.517162,0.832793,0.493614,0.64577,0.90411,0.81591,0.625936,0.630853,0.826353,0.294603,522.88
1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,3,1,1,1,2,2,1,2,2,1,2,3,3,4,6,2,2,3,1,4,7,4,2,14,2,9,35,1,10,41,0.284869,0.785784,0.54977,0.886774,0.422268,0.219274,0.31005,0.64027,0.31763,0.26029,0.24541,0.241676,0.363547,0.29492,527.52
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,3,2,4,6,1,1,3,1,6,3,3,2,4,2,10,4,4,7,5,0.282512,0.555782,0.711159,0.412789,0.422268,0.211915,0.309522,0.29758,0.34365,0.30529,0.24541,0.241676,0.222124,0.824457,563.3
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,3,3,6,1,1,6,4,1,4,5,2,10,2,10,7,4,7,9,0.324129,0.555782,0.692825,0.284048,0.317541,0.413612,0.689578,0.4293,0.43111,0.43919,0.569745,0.55738,0.282249,0.804881,563.69
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,1,4,4,5,13,6,1,1,5,1,1,7,7,2,9,2,23,5,2,10,19,0.64143,0.199504,0.215772,0.584712,0.627218,0.602941,0.411998,0.566,0.67504,0.70866,0.453334,0.443374,0.605077,0.842311,565.21
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2,2,1,3,3,3,5,6,1,1,2,1,3,7,4,2,10,2,9,22,4,3,61,0.299256,0.620805,0.54977,0.259793,0.61906,0.361745,0.50188,0.44106,0.33611,0.34424,0.334828,0.328268,0.318646,0.297828,575.48
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,3,3,3,6,1,1,7,4,5,3,5,2,11,2,21,16,4,7,28,0.512009,0.827585,0.832339,0.473202,0.551723,0.596165,0.938336,0.51256,0.52519,0.52221,0.802827,0.790803,0.339244,0.283139,579.4
1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,3,3,4,6,4,1,2,2,4,3,7,6,2,11,2,7,31,1,10,119,0.472892,0.620805,0.928678,0.29243,0.895958,0.397735,0.435129,0.50658,0.35897,0.34424,0.618602,0.605637,0.456775,0.20581,592.38
1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,2,1,1,1,1,2,3,2,2,2,1,1,3,1,6,9,3,3,4,2,37,18,1,7,11,0.374142,0.299102,0.419161,0.83884,0.281143,0.21587,0.262823,0.48864,0.33987,0.28225,0.24541,0.241676,0.210818,0.562549,593.33
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,3,13,6,1,1,2,1,1,3,4,2,4,2,6,29,4,3,4,0.503312,0.681761,0.506105,0.327354,0.811271,0.410478,0.38993,0.2638,0.42289,0.48889,0.291268,0.308395,0.339244,0.381453,595.21
2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,2,1,2,3,1,4,4,5,5,7,1,1,7,2,5,5,7,2,30,2,7,2,1,9,10,0.642763,0.555782,0.692825,0.564742,0.831634,0.722158,0.579666,0.71817,0.64873,0.74396,0.705501,0.692256,0.689974,0.237677,595.25
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,5,6,1,1,4,2,5,4,1,2,4,2,6,9,5,1,32,0.906291,0.737068,0.336963,0.761209,0.372405,0.84974,0.599487,0.97973,0.93383,0.8351,0.832976,0.832658,0.810511,0.391789,596.39
1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,3,13,6,1,1,2,1,3,3,4,2,4,2,13,2,3,3,4,0.475784,0.555782,0.462347,0.534409,0.889301,0.3735,0.347485,0.36083,0.44352,0.45017,0.291268,0.295524,0.339244,0.193946,608
1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,1,5,3,3,3,6,1,1,9,6,4,3,4,5,33,4,6,4,1,7,18,0.261841,0.047297,0.506105,0.236924,0.302678,0.163217,0.254402,0.27797,0.32311,0.21983,0.152378,0.1514,0.183422,0.394691,609.26
2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,4,4,5,3,6,1,1,1,1,3,8,7,2,10,2,10,9,5,4,47,0.484469,0.199504,0.139862,0.493605,0.332785,0.674671,0.441349,0.64027,0.4832,0.74817,0.377724,0.443374,0.832018,0.811611,610.01
2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,3,7,1,1,7,2,7,1,9,2,13,2,6,24,1,10,15,0.471447,0.737068,0.762059,0.29243,0.281143,0.776551,0.880057,0.3128,0.5084,0.68039,0.771508,0.758883,0.63026,0.384258,612.57
2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,3,6,1,3,5,4,3,7,1,2,1,2,14,6,1,1,7,0.70022,0.681761,0.440642,0.473202,0.281143,0.488594,0.381534,0.60087,0.7628,0.51111,0.682315,0.669033,0.684242,0.410625,620.83
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,2,4,1,1,7,2,5,1,9,2,13,1,21,32,1,9,10,0.436958,0.555782,0.673861,0.336414,0.281143,0.698947,0.740081,0.35533,0.4832,0.67065,0.689039,0.682413,0.639532,0.276565,623.02
